RegularIntervalSchedule 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GtfsStopTime 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GovHydroPID 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WindContRotorRIEC 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
FareCollectionSystem 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
VehicleFault 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SeaConditions 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SpecialRestriction 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
LifeEvent 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
threeAxis 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
DCNode 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcAVR1 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
CO 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AsynchronousMachineEquivalentCircuit 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GovSteam0 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GISData 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AgriCrop 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Reactance 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Susceptance 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Mode 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SeriesCompensator 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
VoltageLevel 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AgriGreenhouse 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
OverexcLimX1 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
UnmannedAerialVehicleTMSFlightMessageAgent 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
UnderexcitationLimiterDynamics 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
VoltageAdjusterUserDefined 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Substation 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
PerLengthDCLineParameter 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AnalogControl 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
BuildingType 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
